schema_version,evidence_class,measurement_warning,stratum,setting_id,cluster_id,seed,requests,throughput_tokens_per_s,p95_tbt_ms,request_slo_miss_rate,target_launches_per_request,mean_batch,draft_launches_per_request,cache_hit_rate,restricted_next_ready_delay_ms,next_round_unready_rate,mean_ttft_ms,ready_within_5ms_rate,remote_attempts_per_request,cache_evictions_per_request,trace_payload_sha256
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0014,14,48,2920.422963330994,14.392000000000024,0.5,1.5625,4.24,2.375,,,,,,,,477a0253fde59bfe2d7670f5fea866353f4b157a6eac3a9310ad1f3bd9bc25b6
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0015,15,48,2952.7461494309578,10.658500000000004,0.45833333333333337,1.5,4.333333333333333,2.2916666666666665,,,,,,,,8378d827659e5a9783168f11f1408ea14966145be9dbfc19f04dd52414bdb224
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0016,16,48,2958.6448606581494,9.028999999999996,0.47916666666666663,1.6666666666666667,3.975,2.5833333333333335,,,,,,,,7ece95f6ab825de9867552b84e47e42f91754332ce45f2d71221a0c997a6d5c1
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0017,17,48,2909.922236874858,14.463999999999999,0.5416666666666667,1.5833333333333333,4.276315789473684,2.4791666666666665,,,,,,,,e82f025acabd4c5ba766b5fdb6b7bdc538f26df70d96eb23166e41c3f4cc4ca3
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0018,18,48,2941.829885054526,11.35697499999987,0.5416666666666667,1.5416666666666667,4.243243243243243,2.3333333333333335,,,,,,,,51a24f3b67415585efcd0f9fcb004c856510d3b22945b4ddbeafe09d973163f8
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0019,19,48,2946.8572395956808,12.665500000000009,0.5,1.5416666666666667,4.175675675675675,2.3125,,,,,,,,b9e839890d00219099128eb03cda24241fbf8bf2f5518291e6bd6f34fb52e6e2
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0020,20,48,2905.39903861597,14.392000000000053,0.45833333333333337,1.6875,3.950617283950617,2.5208333333333335,,,,,,,,91645ffbff9341cadd21d1ce219d047268fabadcc135723518215cb5e6eccf4c
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0021,21,48,2926.7450021688355,14.4712,0.47916666666666663,1.5625,4.2,2.4166666666666665,,,,,,,,b5951b82f25de7bb4c7a73cc2eb27a4946621fffb328b4e4b9d0dffc97f56c53
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0022,22,48,2871.813574325197,14.518000000000029,0.5833333333333333,1.6458333333333333,4.1265822784810124,2.5208333333333335,,,,,,,,2ebebe5ea25d89f4c4e504ac541f9a499e3db472614ac362b6a35df1ccb2481a
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0023,23,48,2831.230126076155,13.478499999999997,0.5,1.7291666666666667,4.0602409638554215,2.5833333333333335,,,,,,,,0beba6c51917b8ab22c44b233746bf0a8487141621c33cd293ac25cda0560d83
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0024,24,48,2909.3492174443095,14.373999999999995,0.5208333333333333,1.7083333333333333,4.060975609756097,2.4375,,,,,,,,4db6a3484cdb6f00e543c41cd30059de965cfa4495b495946b31d8c0a6549926
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0025,25,48,2913.7000897813673,14.488299999999983,0.5208333333333333,1.75,3.857142857142857,2.5625,,,,,,,,a4e03c0b4a45eeba7730a87df59043a16ac2396e8920e4d6091442902d1f0111
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0026,26,48,2880.1236725228473,11.834499999999991,0.47916666666666663,1.6041666666666667,4.142857142857143,2.5833333333333335,,,,,,,,224fbdca4260a350e9e49fabc03f8b6e7c7a41646738e0505b79491a8c80dc85
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0027,27,48,3013.407204534631,14.338899999999999,0.47916666666666663,1.4166666666666667,4.5,2.1458333333333335,,,,,,,,53a74a624076fc358133c9494ae4551c5fac061912def4056f3a8378511eb8d0
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0028,28,48,2957.808343068465,14.374000000000024,0.5208333333333333,1.5416666666666667,4.148648648648648,2.2291666666666665,,,,,,,,2edaf1197438afb76c60e7c966fb33f822ad3d040d8cca3be8271df7ec6feb90
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/lower,seed-0029,29,48,2924.733907516748,13.046500000000037,0.5208333333333333,1.5625,4.333333333333333,2.3333333333333335,,,,,,,,a795693575eee8b040a7a379747c202c2bfc4b187b45a3af54e1b8be2a6108cb
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0000,0,48,2980.0749064705287,14.28400000000002,0.47916666666666663,1.4791666666666667,4.309859154929577,2.25,,,,,,,,c153b27dc4718ff20672154dd7a221513f891af1d1226e068363173a4a4e19be
1,synthetic-cpu-decoder-model,SYNTHETIC CPU MODEL / NOT A GPU MEASUREMENT,decoder-policy,decoder/controller-max-wait/upper,seed-0001,1,48,2903.118323135668,14.336200000000032,0.5208333333333333,1.5625,4.173333333333333,2.4375,,,,,,,,73d74ed8877015cbd944538e231a1000994e8957efe805ccefd5aaf6abf2dd8e
